participant_id,fsm_number,fsm_type,test_condition,learning_condition,trial_number,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,response_correct_mm,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,response_correct_mm_an
1,22.0,hard,control,Experiment 1 (no preview),1,hidden,1.0,,,,3.0,ab,ba,ab,ba,0.0,4694.036000095366,0.6984854647549706,0.00034961343859741915,2.074056541198762,0.0,0.49983344437041977,0.00019984012789768185,1.789485430844661,0.0
1,22.0,hard,control,Experiment 1 (no preview),2,hidden,2.0,,,,1.0,ba,ab,ab,ab,1.0,6457.54800000001,0.4282697045856112,0.713815533146124,0.4321267651346004,1.0,0.5997202238209431,0.7140205596801827,0.15130504838176764,1.0
1,22.0,hard,control,Experiment 1 (no preview),3,hidden,3.0,,,,1.0,ba,bb,bb,bb,1.0,7118.08800004769,0.0002531009815402611,0.571042591668414,1.9011346116804324,1.0,0.00012493753123438283,0.7140205596801827,2.0955668417953777,1.0
1,22.0,hard,control,Experiment 1 (no preview),4,visible,0.0,b,3.0,,3.0,a,b,b,b,1.0,2537.9190000238304,0.00016655562958027982,0.20003996802557952,1.097081335751024,1.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),5,visible,1.0,a,1.0,,0.0,a,b,a,b,0.0,1656.1240000238467,0.39988009592326135,0.00016655562958027982,1.6075339047269281,0.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),6,visible,3.0,a,2.0,,2.0,a,b,a,a,1.0,500.6550000715361,0.9996251874062968,0.00014277555682467162,2.3961277387178126,1.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),7,visible,3.0,b,2.0,,1.0,a,b,b,a,0.0,16902.52200004767,0.00012493753123438283,0.7140205596801827,2.0955668417953777,0.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),8,hidden,1.0,,,,2.0,ab,ba,ba,ba,1.0,1741.3000000476895,0.0006579865028161641,0.3333499593899741,1.45981712367271,1.0,0.00016655562958027982,0.00019984012789768185,0.00033223633631522526,1.0
1,22.0,hard,control,Experiment 1 (no preview),9,visible,2.0,a,2.0,,2.0,a,b,a,a,1.0,577.4260000715149,0.9996251874062968,0.00014277555682467162,2.3961277387178126,1.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),10,hidden,0.0,,,,3.0,aa,ab,ab,ab,1.0,2060.771000000008,0.00036624099936179426,0.20021919829497234,1.095686963148342,1.0,0.00016655562958027982,0.20003996802557952,1.097081335751024,1.0
1,22.0,hard,control,Experiment 1 (no preview),11,hidden,0.0,,,,0.0,aa,bb,aa,aa,1.0,4037.4220000715286,0.3331579849398625,0.00048495660238803066,1.4610944920030262,1.0,0.3332778147901399,0.00019984012789768188,1.4642125337388965,1.0
1,22.0,hard,control,Experiment 1 (no preview),12,visible,2.0,a,2.0,,0.0,a,b,b,b,1.0,1254.094000047684,0.00012493753123438283,0.2856938892061679,1.348625240222501,1.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),13,hidden,2.0,,,,3.0,ba,ab,ba,ba,1.0,3344.33400007154,0.2856653414741587,0.00035472671098718545,1.3462588260261117,1.0,0.00019984012789768185,0.00014277555682467162,0.0005696698370561387,1.0
1,22.0,hard,control,Experiment 1 (no preview),14,visible,2.0,a,2.0,,1.0,a,b,b,b,1.0,787.7590000476921,0.00012493753123438283,0.7140205596801827,2.0955668417953777,1.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),15,hidden,1.0,,,,0.0,aa,bb,aa,bb,0.0,1218.9990000238176,0.2399627199668169,0.0002308866711082255,1.2213595730800073,0.0,0.39988009592326135,0.00016655562958027982,1.6075339047269281,0.0
1,22.0,hard,control,Experiment 1 (no preview),16,visible,1.0,b,1.0,,3.0,a,b,b,a,0.0,969.576000047673,0.00019984012789768185,0.49983344437041977,1.789485430844661,0.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),17,visible,0.0,a,3.0,,0.0,a,b,a,a,1.0,2548.6330000715097,0.3332778147901399,0.00019984012789768188,1.4642125337388965,1.0,,,,
1,22.0,hard,control,Experiment 1 (no preview),18,hidden,1.0,,,,3.0,aa,ba,aa,ba,0.0,2654.304000071541,0.399760266072984,0.00034961343859741915,1.605468292483331,0.0,0.00019984012789768185,0.00019984012789768185,0.0,
1,22.0,hard,control,Experiment 1 (no preview),19,hidden,3.0,,,,3.0,aa,ba,aa,aa,1.0,1710.405000000028,0.33316132597775755,0.0003329731349765848,1.4626158498711566,1.0,0.00012493753123438283,0.00012493753123438283,0.0,
1,22.0,hard,control,Experiment 1 (no preview),20,visible,2.0,b,1.0,,0.0,a,b,a,b,0.0,1268.3059999999823,0.39988009592326135,0.00016655562958027982,1.6075339047269281,0.0,,,,
2,21.0,easy,prediction,Experiment 1 (no preview),1,visible,2.0,a,3.0,a,,0.0,3.0,0.0,0,1.0,15843.166999999989,0.5997202238209431,0.00019984012789768185,1.9435139817746387,1.0,,,,
2,21.0,easy,prediction,Experiment 1 (no preview),2,visible,1.0,a,0.0,a,,2.0,0.0,2.0,2,1.0,6561.582000000752,0.9997857754927164,7.140816909454442e-05,2.396986677424215,1.0,,,,
2,21.0,easy,prediction,Experiment 1 (no preview),3,visible,3.0,b,3.0,b,,1.0,3.0,3.0,3,1.0,2708.4000000014785,0.25,0.25,0.0,0.0,,,,
2,21.0,easy,prediction,Experiment 1 (no preview),4,hidden,0.0,b,,a,,3.0,0.0,0.0,3,0.0,9280.245000002991,0.08941650390625,0.560546875,1.249119775614823,0.0,7.140636444091797e-05,7.140636444091797e-05,0.0,
2,21.0,easy,prediction,Experiment 1 (no preview),5,hidden,1.0,b,,a,,2.0,1.0,2.0,2,1.0,3933.199000002991,0.25,0.10009765625,0.5591276258559212,1.0,1.0,7.140636444091797e-05,2.3971814639761067,1.0
2,21.0,easy,prediction,Experiment 1 (no preview),6,hidden,0.0,a,,a,,1.0,0.0,0.0,0,1.0,6066.284000000742,9.995698928833008e-05,0.642578125,2.0039588273533147,1.0,7.140636444091797e-05,0.642578125,2.0042440891866025,1.0
2,21.0,easy,prediction,Experiment 1 (no preview),7,hidden,2.0,a,,b,,1.0,3.0,3.0,3,1.0,9726.804000001488,0.25,0.25,0.0,,0.25,0.25,0.0,
2,21.0,easy,prediction,Experiment 1 (no preview),8,hidden,2.0,a,,a,,3.0,1.0,1.0,3,0.0,6242.323000003002,0.00014281272888183594,0.142822265625,0.8857324640704258,0.0,7.140636444091797e-05,7.140636444091797e-05,0.0,
2,21.0,easy,prediction,Experiment 1 (no preview),9,visible,1.0,b,0.0,b,,2.0,1.0,2.0,2,1.0,5651.939000001468,0.25,0.25,0.0,1.0,,,,
2,21.0,easy,prediction,Experiment 1 (no preview),10,visible,3.0,b,3.0,a,,1.0,3.0,1.0,1,1.0,2816.3000000015018,0.39988009592326135,0.00019984012789768185,1.607201668390613,1.0,,,,
2,21.0,easy,prediction,Experiment 1 (no preview),11,hidden,3.0,a,,b,,2.0,1.0,2.0,2,1.0,4457.7680000007385,0.250244140625,0.25,0.0006973014716680862,1.0,0.25,0.25,0.0,
2,21.0,easy,prediction,Experiment 1 (no preview),12,hidden,2.0,a,,b,,0.0,3.0,3.0,3,1.0,12488.956000002974,0.25,0.25,0.0,,0.25,0.25,0.0,
2,21.0,easy,prediction,Experiment 1 (no preview),13,visible,0.0,b,2.0,b,,2.0,3.0,2.0,2,1.0,1694.0680000014836,0.999571673329526,0.00014277555682467162,2.3960790717905933,1.0,,,,
2,21.0,easy,prediction,Experiment 1 (no preview),14,visible,3.0,a,1.0,b,,3.0,0.0,0.0,3,0.0,8195.568000000727,0.25,0.25,0.0,0.0,,,,
2,21.0,easy,prediction,Experiment 1 (no preview),15,visible,2.0,a,3.0,a,,3.0,1.0,1.0,1,1.0,5055.856000000727,0.00019984012789768185,0.39988009592326135,1.607201668390613,1.0,,,,
2,21.0,easy,prediction,Experiment 1 (no preview),16,hidden,2.0,b,,a,,1.0,3.0,3.0,3,1.0,2993.36500000296,0.0001285076141357422,0.35693359375,1.518083634129031,1.0,7.140636444091797e-05,0.357177734375,1.5191882359572266,1.0
2,21.0,easy,prediction,Experiment 1 (no preview),17,visible,2.0,b,2.0,a,,1.0,3.0,3.0,3,1.0,2414.536000001477,7.140816909454443e-05,0.35711225364181665,1.519044979489037,1.0,,,,
2,21.0,easy,prediction,Experiment 1 (no preview),18,hidden,3.0,a,,a,,2.0,1.0,2.0,1,0.0,1993.8420000029728,0.599609375,0.00025582313537597656,1.9427969929310827,0.0,1.0,7.140636444091797e-05,2.3971814639761067,0.0
2,21.0,easy,prediction,Experiment 1 (no preview),19,visible,3.0,a,1.0,a,,0.0,1.0,0.0,0,1.0,5226.990000002959,0.9990013315579229,0.0003328894806924102,2.3936636137210456,1.0,,,,
2,21.0,easy,prediction,Experiment 1 (no preview),20,hidden,3.0,b,,a,,3.0,1.0,1.0,1,1.0,6453.729000002262,0.08941650390625,0.10009765625,0.05485721383525164,1.0,7.140636444091797e-05,7.140636444091797e-05,0.0,
3,21.0,easy,prediction,Experiment 1 (no preview),1,visible,3.0,b,3.0,a,,1.0,3.0,1.0,1,1.0,5807.148999976169,0.5997202238209431,0.00019984012789768185,1.9435139817746387,1.0,,,,
3,21.0,easy,prediction,Experiment 1 (no preview),2,hidden,2.0,b,,a,,1.0,3.0,3.0,3,1.0,2698.795999976166,0.00016582012176513672,0.454345703125,1.7109614910851967,1.0,9.08970832824707e-05,0.45458984375,1.7121500763089736,1.0
3,21.0,easy,prediction,Experiment 1 (no preview),3,visible,3.0,b,3.0,b,,1.0,3.0,3.0,1,0.0,4606.258000000002,0.0002497502497502498,0.9992507492507492,2.3947195147531968,0.0,,,,
3,21.0,easy,prediction,Experiment 1 (no preview),4,visible,2.0,a,3.0,a,,0.0,3.0,0.0,0,1.0,5082.779999999999,0.39988009592326135,0.00019984012789768185,1.607201668390613,1.0,,,,
3,21.0,easy,prediction,Experiment 1 (no preview),5,visible,3.0,a,1.0,a,,0.0,1.0,0.0,0,1.0,2950.744000023813,0.9990013315579229,0.0003328894806924102,2.3936636137210456,1.0,,,,
3,21.0,easy,prediction,Experiment 1 (no preview),6,hidden,3.0,a,,a,,2.0,1.0,2.0,2,1.0,3304.1870000477065,0.39990234375,0.0003638267517089844,1.6056109158267429,1.0,0.00033283233642578125,0.00033283233642578125,0.0,
3,21.0,easy,prediction,Experiment 1 (no preview),7,hidden,2.0,a,,b,,0.0,3.0,3.0,3,1.0,5657.535000047705,0.0003178119659423828,0.454345703125,1.7094452388932957,1.0,0.00033283233642578125,0.00033283233642578125,0.0,
3,21.0,easy,prediction,Experiment 1 (no preview),8,visible,1.0,b,0.0,b,,2.0,1.0,2.0,2,1.0,2939.9349999761325,0.9990013315579229,0.0003328894806924102,2.3936636137210456,1.0,,,,
3,21.0,easy,prediction,Experiment 1 (no preview),9,visible,1.0,a,0.0,a,,2.0,0.0,2.0,2,1.0,2416.8890000000247,0.9996668147490004,0.00011106175033318526,2.3964823300095106,1.0,,,,
3,21.0,easy,prediction,Experiment 1 (no preview),10,hidden,3.0,b,,a,,3.0,1.0,1.0,1,1.0,4044.079000000027,0.0003132820129394531,0.59912109375,1.9415258567232543,1.0,0.00019979476928710938,0.599609375,1.943356003131281,1.0
3,21.0,easy,prediction,Experiment 1 (no preview),11,hidden,2.0,a,,a,,3.0,1.0,1.0,3,0.0,2782.1260000715265,0.00019276142120361328,0.272705078125,1.3136914868912808,0.0,0.00011104345321655273,0.00011104345321655273,0.0,
3,21.0,easy,prediction,Experiment 1 (no preview),12,visible,2.0,a,3.0,a,,3.0,1.0,1.0,1,1.0,1490.3820000715205,0.00019984012789768185,0.5997202238209431,1.9435139817746385,1.0,,,,
3,21.0,easy,prediction,Experiment 1 (no preview),13,hidden,0.0,a,,a,,1.0,0.0,0.0,0,1.0,1486.3650000238558,0.00015747547149658203,0.54541015625,1.8631423137820557,1.0,9.08970832824707e-05,0.54541015625,1.8638072719019938,1.0
3,21.0,easy,prediction,Experiment 1 (no preview),14,visible,0.0,b,2.0,b,,2.0,3.0,2.0,2,1.0,1368.2339999761316,0.9996251874062968,0.00012493753123438283,2.3963058805197277,1.0,,,,
3,21.0,easy,prediction,Experiment 1 (no preview),15,hidden,2.0,a,,b,,1.0,3.0,3.0,1,0.0,1963.1049999999807,0.0003178119659423828,0.454345703125,1.7094452388932957,0.0,0.00033283233642578125,0.00033283233642578125,0.0,
3,21.0,easy,prediction,Experiment 1 (no preview),16,hidden,0.0,b,,a,,3.0,0.0,0.0,0,1.0,3146.350000023842,0.4541015625,0.54541015625,0.15253802010165618,1.0,0.45458984375,0.54541015625,0.1516571955930202,1.0
3,21.0,easy,prediction,Experiment 1 (no preview),17,visible,3.0,a,1.0,b,,3.0,0.0,0.0,0,1.0,2424.575000071549,0.25,0.25,0.0,0.0,,,,
3,21.0,easy,prediction,Experiment 1 (no preview),18,hidden,1.0,b,,a,,2.0,1.0,2.0,2,1.0,2999.5130000715144,0.25,0.1500244140625,0.33637458513927415,1.0,0.99951171875,0.00011104345321655273,2.396341463747904,1.0
3,21.0,easy,prediction,Experiment 1 (no preview),19,hidden,3.0,a,,b,,2.0,1.0,2.0,2,1.0,2244.587999999989,0.5498046875,0.1500244140625,0.9551132676228751,1.0,0.25,0.25,0.0,
3,21.0,easy,prediction,Experiment 1 (no preview),20,visible,2.0,b,2.0,a,,1.0,3.0,3.0,1,0.0,1373.3390000238433,9.087604507451837e-05,0.4544711014176663,1.7119361551967656,0.0,,,,
4,22.0,hard,explanation,Experiment 1 (no preview),1,visible,0.0,a,3.0,a,0.0,,,2.0,2,1.0,7670.377000011911,0.3992814730251726,0.00016643083765002485,1.6063368999820524,1.0,,,,
4,22.0,hard,explanation,Experiment 1 (no preview),2,visible,3.0,b,2.0,b,0.0,,,2.0,2,1.0,3143.978000047675,0.17133640317899873,6.0558803521510313e-05,0.9975838004690732,1.0,,,,
4,22.0,hard,explanation,Experiment 1 (no preview),3,hidden,2.0,a,,b,1.0,,,2.0,2,1.0,3491.4580000238493,0.47606002983106366,9.093747403111891e-05,1.7501327262245374,1.0,0.6663890739506995,9.087604507451837e-05,2.0356114364616,1.0
4,22.0,hard,explanation,Experiment 1 (no preview),4,visible,1.0,a,0.0,a,3.0,,,1.0,1,1.0,3009.846000035759,0.00016643083765002485,0.9970082290508803,2.393508850722683,1.0,,,,
4,22.0,hard,explanation,Experiment 1 (no preview),5,visible,2.0,b,1.0,b,1.0,,,1.0,2,0.0,2514.344999999972,6.0558803521510313e-05,0.00035629768447114913,0.0029512397388582108,0.0,,,,
4,22.0,hard,explanation,Experiment 1 (no preview),6,hidden,2.0,b,,a,1.0,,,1.0,1,1.0,2183.907000011939,9.093747403111891e-05,0.47606002983106366,1.7501327262245374,1.0,9.087604507451837e-05,0.6663890739506995,2.0356114364616,1.0
4,22.0,hard,explanation,Experiment 1 (no preview),7,hidden,2.0,b,,b,3.0,,,1.0,2,0.0,1154.1480000357842,0.0002940505747201444,0.2858361720372584,1.34730647769248,0.0,0.00014277555682467162,0.0004990019960079841,0.0035508737793712285,0.0
4,22.0,hard,explanation,Experiment 1 (no preview),8,hidden,3.0,b,,b,3.0,,,2.0,2,1.0,1028.3489999999874,0.39950030297633393,0.0002936750338962636,1.6055055721477556,1.0,0.00014277555682467162,9.087604507451837e-05,0.0005183895164193006,1.0
4,22.0,hard,explanation,Experiment 1 (no preview),9,visible,3.0,a,0.0,b,3.0,,,1.0,2,0.0,2900.099000023853,0.00016630629480545903,0.3995804854617804,1.6069368495855765,0.0,,,,
4,22.0,hard,explanation,Experiment 1 (no preview),10,visible,0.0,b,3.0,b,3.0,,,2.0,2,1.0,952.3549999999814,0.33302810613769973,0.00019954096602957153,1.4636390286817187,1.0,,,,
4,22.0,hard,explanation,Experiment 1 (no preview),11,visible,2.0,b,1.0,a,1.0,,,1.0,2,0.0,5623.065999999992,4.5347327881496194e-08,0.4758154995470371,1.7506166566369719,0.0,,,,
4,22.0,hard,explanation,Experiment 1 (no preview),12,hidden,3.0,b,,a,2.0,,,2.0,2,1.0,1062.2750000118976,0.599776541255348,0.2221879492897786,0.7756259885934513,1.0,0.9997273718647764,0.00014277555682467162,2.3962206610263554,1.0
4,22.0,hard,explanation,Experiment 1 (no preview),13,hidden,1.0,b,,a,2.0,,,1.0,2,0.0,1050.8210000476683,0.0010477529178802283,0.2222037921097357,1.1595910338285844,0.0,0.0002497502497502498,0.00016655562958027982,0.0008302181260506215,1.0
4,22.0,hard,explanation,Experiment 1 (no preview),14,visible,3.0,b,2.0,a,2.0,,,2.0,1,0.0,3832.3700000476674,0.599556723214667,9.51440710951884e-05,1.9443257075376266,0.0,,,,
4,22.0,hard,explanation,Experiment 1 (no preview),15,hidden,0.0,a,,a,0.0,,,2.0,2,1.0,468.5520000357647,0.39977989798540553,0.00023794918101459933,1.6066209461842853,1.0,0.39988009592326135,0.00016655562958027982,1.6075339047269281,1.0
4,22.0,hard,explanation,Experiment 1 (no preview),16,hidden,1.0,a,,a,0.0,,,2.0,2,1.0,2712.7850000477047,0.7986627067972446,0.0006409830311762997,2.189348216269209,1.0,0.9985029940119762,0.000499001996007984,2.3915558203048297,1.0
4,22.0,hard,explanation,Experiment 1 (no preview),17,visible,1.0,b,3.0,a,2.0,,,1.0,2,0.0,845.6140000357409,0.0002992615887330056,0.22209269436631407,1.1666810419062266,0.0,,,,
4,22.0,hard,explanation,Experiment 1 (no preview),18,hidden,3.0,a,,a,3.0,,,1.0,1,1.0,1581.5190000477014,0.0002936750338962636,0.39950030297633393,1.6055055721477556,1.0,9.087604507451837e-05,0.00014277555682467162,0.0005183895164192903,1.0
4,22.0,hard,explanation,Experiment 1 (no preview),19,visible,3.0,a,2.0,b,1.0,,,2.0,2,1.0,775.3209999999963,0.4758154995470371,5.450020209205227e-05,1.7500722565488906,1.0,,,,
4,22.0,hard,explanation,Experiment 1 (no preview),20,hidden,1.0,b,,b,2.0,,,1.0,2,0.0,899.8730000118958,0.0008309388219306789,0.2003725269776565,1.09157821960603,0.0,0.000499001996007984,0.0004990019960079841,0.0,0.0
5,22.0,hard,prediction,Experiment 1 (no preview),1,hidden,1.0,a,,a,,3.0,2.0,3.0,2,0.0,4210.0,0.333251953125,0.0008597373962402344,1.4575886236650808,0.0,0.00033283233642578125,0.00033283233642578125,0.0,
5,22.0,hard,prediction,Experiment 1 (no preview),2,hidden,3.0,a,,b,,2.0,3.0,3.0,2,0.0,5406.0,0.00036144256591796875,0.3330078125,1.4619776752568845,0.0,0.00014281272888183594,0.00014281272888183594,0.0,
5,22.0,hard,prediction,Experiment 1 (no preview),3,visible,3.0,a,0.0,b,,3.0,0.0,3.0,0,0.0,2120.0,0.998502994011976,0.000499001996007984,2.3915558203048293,0.0,,,,
5,22.0,hard,prediction,Experiment 1 (no preview),4,visible,0.0,a,3.0,b,,2.0,1.0,2.0,1,0.0,4603.0,0.5997202238209433,0.00019984012789768188,1.943513981774639,0.0,,,,
5,22.0,hard,prediction,Experiment 1 (no preview),5,visible,0.0,b,3.0,a,,2.0,1.0,2.0,2,1.0,3547.0,0.6663890739506995,0.00016655562958027982,2.03485561344444,1.0,,,,
5,22.0,hard,prediction,Experiment 1 (no preview),6,visible,0.0,a,3.0,a,,3.0,0.0,0.0,3,0.0,2523.0,0.00016655562958027982,0.3332778147901399,1.4645447700752117,0.0,,,,
5,22.0,hard,prediction,Experiment 1 (no preview),7,visible,2.0,a,2.0,b,,0.0,3.0,0.0,3,0.0,3452.0,0.2856938892061679,0.00014277555682467162,1.348447098420586,0.0,,,,
5,22.0,hard,prediction,Experiment 1 (no preview),8,hidden,1.0,b,,a,,3.0,2.0,2.0,3,0.0,968.0,0.00040411949157714844,0.285888671875,1.3463456758251782,0.0,0.00033283233642578125,0.00033283233642578125,0.0,
5,22.0,hard,prediction,Experiment 1 (no preview),9,hidden,2.0,a,,a,,2.0,3.0,2.0,2,1.0,4671.0,0.99951171875,0.00022208690643310547,2.395232875623817,1.0,0.99951171875,0.00011104345321655273,2.396341463747904,1.0
5,22.0,hard,prediction,Experiment 1 (no preview),10,hidden,0.0,a,,a,,1.0,0.0,0.0,1,0.0,2034.0,0.00033283233642578125,0.3330078125,1.4622627878212555,0.0,0.0001665353775024414,0.333251953125,1.4644852820648673,0.0
5,22.0,hard,prediction,Experiment 1 (no preview),11,visible,2.0,b,1.0,a,,3.0,1.0,1.0,1,1.0,889.0,0.0003328894806924102,0.6661118508655127,2.032834626196963,1.0,,,,
5,22.0,hard,prediction,Experiment 1 (no preview),12,hidden,3.0,a,,a,,0.0,3.0,3.0,0,0.0,11943.0,0.0002682209014892578,0.3330078125,1.4629069662652658,0.0,0.00011104345321655273,0.00011104345321655273,0.0,
5,22.0,hard,prediction,Experiment 1 (no preview),13,hidden,2.0,b,,b,,1.0,3.0,3.0,1,0.0,1530.0,0.408203125,0.59130859375,0.3077050941417933,0.0,0.5712890625,0.428466796875,0.23921985967457812,1.0
5,22.0,hard,prediction,Experiment 1 (no preview),14,visible,1.0,a,0.0,a,,3.0,0.0,3.0,3,1.0,912.0,0.9992507492507492,0.0002497502497502498,2.3947195147531968,1.0,,,,
5,22.0,hard,prediction,Experiment 1 (no preview),15,hidden,2.0,a,,b,,1.0,2.0,1.0,2,0.0,743.0,0.7138671875,0.00020945072174072266,2.0945346895877432,0.0,0.7138671875,0.00014281272888183594,2.0951998978980315,0.0
5,22.0,hard,prediction,Experiment 1 (no preview),16,visible,2.0,b,1.0,b,,1.0,0.0,1.0,0,0.0,6735.0,0.571245002855511,0.00014277555682467162,1.90253727797734,0.0,,,,
5,22.0,hard,prediction,Experiment 1 (no preview),17,visible,3.0,b,2.0,a,,1.0,2.0,2.0,2,1.0,579.0,0.00011106175033318526,0.9996668147490004,2.3964823300095106,1.0,,,,
5,22.0,hard,prediction,Experiment 1 (no preview),18,hidden,3.0,b,,b,,1.0,3.0,1.0,1,1.0,3334.0,0.428466796875,0.1602783203125,0.7082284569046167,1.0,0.7138671875,0.00014281272888183594,2.0951998978980315,1.0
5,22.0,hard,prediction,Experiment 1 (no preview),19,visible,1.0,b,3.0,b,,3.0,0.0,3.0,0,0.0,1014.0,0.3998800959232614,0.00019984012789768188,1.6072016683906132,0.0,,,,
5,22.0,hard,prediction,Experiment 1 (no preview),20,hidden,1.0,b,,a,,3.0,0.0,0.0,3,0.0,2145.0,0.00040411949157714844,0.333251953125,1.4621161994555407,0.0,0.00033283233642578125,0.333251953125,1.4628264539203912,0.0
6,22.0,hard,control,Experiment 1 (no preview),1,hidden,1.0,,,,2.0,ab,ba,ba,ba,1.0,11974.0,0.0006679486745398158,0.5705342108153132,1.8962472604585265,1.0,0.0002497502497502498,0.571245002855511,1.9014696263505486,1.0
6,22.0,hard,control,Experiment 1 (no preview),2,hidden,3.0,,,,1.0,ba,bb,bb,ba,0.0,40175.0,0.00019699317211313515,0.29984038617460806,1.3839272529708615,0.0,9.996001599360256e-05,0.49983344437041966,1.7904827370837175,0.0
6,22.0,hard,control,Experiment 1 (no preview),3,hidden,1.0,,,,3.0,ab,ba,ab,ab,1.0,6540.0,0.998036063446785,0.001138066346754676,2.384791889310864,1.0,0.9992507492507492,0.00014277555682467162,2.395787166379988,1.0
6,22.0,hard,control,Experiment 1 (no preview),4,visible,0.0,b,3.0,,3.0,a,b,b,b,1.0,3124.0,0.00014277555682467162,0.3998800959232614,1.6077713382276693,1.0,,,,
6,22.0,hard,control,Experiment 1 (no preview),5,visible,1.0,a,1.0,,0.0,a,b,a,b,0.0,16208.0,0.5997202238209431,0.0009960159362549803,1.9355995050066217,0.0,,,,
6,22.0,hard,control,Experiment 1 (no preview),6,hidden,2.0,,,,3.0,ba,ab,ba,ab,0.0,5274.0,0.49963371124049477,0.00040602415521767536,1.7870967805271412,0.0,0.999400479616307,0.00016655562958027982,2.3956859348960324,0.0
6,22.0,hard,control,Experiment 1 (no preview),7,hidden,0.0,,,,0.0,aa,bb,aa,aa,1.0,2990.0,0.4283324779424847,0.00032483505551324926,1.6613125065555627,1.0,0.42846944603083953,0.00019984012789768188,1.6628183979005142,1.0
6,22.0,hard,control,Experiment 1 (no preview),8,hidden,1.0,,,,3.0,aa,ba,aa,ba,0.0,3973.0,0.5994406399200706,0.001138066346754676,1.9337943528872286,0.0,0.999400479616307,0.00014277555682467162,2.3959233683967733,0.0
6,22.0,hard,control,Experiment 1 (no preview),9,visible,1.0,b,1.0,,3.0,a,b,b,a,0.0,7556.0,0.00019984012789768185,0.9970119521912352,2.3931787624393155,0.0,,,,
6,22.0,hard,control,Experiment 1 (no preview),10,visible,2.0,a,2.0,,0.0,a,b,b,b,1.0,4991.000000000058,9.996001599360256e-05,0.49983344437041966,1.7904827370837175,1.0,,,,
6,22.0,hard,control,Experiment 1 (no preview),11,hidden,1.0,,,,0.0,aa,bb,aa,aa,1.0,16356.000000000058,0.24002167415978717,0.0006983258750816779,1.2168801883959415,1.0,0.00019984012789768188,0.00019984012789768188,0.0,
6,22.0,hard,control,Experiment 1 (no preview),12,hidden,0.0,,,,3.0,aa,ab,ab,aa,0.0,10474.000000000058,0.00034247019173468845,0.40003932633279415,1.606097711026323,0.0,0.00014277555682467162,0.3998800959232614,1.6077713382276693,0.0
6,22.0,hard,control,Experiment 1 (no preview),13,visible,0.0,a,3.0,,0.0,a,b,a,a,1.0,4707.000000000058,0.42846944603083953,0.00019984012789768188,1.6628183979005142,1.0,,,,
6,22.0,hard,control,Experiment 1 (no preview),14,hidden,3.0,,,,3.0,aa,ba,aa,aa,1.0,3273.0,0.42826972044092126,0.0003168014022676207,1.6612737950156977,1.0,9.996001599360256e-05,9.996001599360256e-05,0.0,
6,22.0,hard,control,Experiment 1 (no preview),15,visible,2.0,a,2.0,,2.0,a,b,a,a,1.0,2240.0,0.9997001199520191,0.00016655562958027982,2.3959584466107082,1.0,,,,
6,22.0,hard,control,Experiment 1 (no preview),16,hidden,2.0,,,,1.0,ba,ab,ab,ba,0.0,1840.0000000000584,0.1999733728889242,0.4996836987959697,0.6927086338603606,0.0,0.00019984012789768188,0.49983344437041966,1.789485430844661,0.0
6,22.0,hard,control,Experiment 1 (no preview),17,visible,3.0,b,2.0,,1.0,a,b,b,a,0.0,806.0,9.996001599360256e-05,0.49983344437041966,1.7904827370837175,0.0,,,,
6,22.0,hard,control,Experiment 1 (no preview),18,visible,2.0,b,1.0,,0.0,a,b,a,a,1.0,5490.0,0.5997202238209431,0.0009960159362549803,1.9355995050066217,1.0,,,,
6,22.0,hard,control,Experiment 1 (no preview),19,visible,3.0,a,2.0,,2.0,a,b,a,a,1.0,557.0,0.9997001199520191,0.00016655562958027982,2.3959584466107082,1.0,,,,
6,22.0,hard,control,Experiment 1 (no preview),20,visible,2.0,a,2.0,,1.0,a,b,b,b,1.0,3790.000000000058,9.996001599360256e-05,0.49983344437041966,1.7904827370837175,1.0,,,,
7,22.0,hard,prediction,Experiment 1 (no preview),1,hidden,0.0,a,,a,,1.0,0.0,0.0,1,0.0,2062.30399990466,0.00019156932830810547,0.374755859375,1.5557166449674615,0.0,0.00012493133544921875,0.375,1.5568960844346253,0.0
7,22.0,hard,prediction,Experiment 1 (no preview),2,hidden,2.0,a,,b,,1.0,2.0,1.0,2,0.0,3294.9599998569465,0.499755859375,0.0003120899200439453,1.7882364460762923,0.0,0.499755859375,0.00012493133544921875,1.7901039517677715,0.0
7,22.0,hard,prediction,Experiment 1 (no preview),3,hidden,3.0,a,,a,,0.0,3.0,3.0,0,0.0,4572.425999952306,0.0003609657287597656,0.374755859375,1.554027347540354,0.0,0.0002498626708984375,0.0002498626708984375,0.0,
